,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,timestamp,1,2,5
146,146,146,146,5880.0,"(580, 251)","(528, 272)","(534, 239)"
147,147,147,147,5920.0,"(578, 250)","(526, 272)","(531, 241)"
148,148,148,148,5960.0,"(576, 251)","(522, 273)","(529, 241)"
149,149,149,149,6000.0,"(575, 250)","(520, 273)","(527, 240)"
150,150,150,150,6040.0,"(571, 251)","(515, 273)","(522, 241)"
151,151,151,151,6080.0,"(569, 249)","(512, 274)","(519, 241)"
152,152,152,152,6120.0,"(567, 250)","(510, 274)","(517, 242)"
153,153,153,153,6160.0,"(566, 249)","(508, 274)","(515, 242)"
154,154,154,154,6200.0,"(565, 249)","(505, 275)","(512, 241)"
155,155,155,155,6240.0,"(560, 247)","(500, 274)","(507, 241)"
156,156,156,156,6280.0,"(559, 246)","(498, 275)","(504, 241)"
157,157,157,157,6320.0,"(556, 245)","(495, 276)","(502, 241)"
158,158,158,158,6360.0,"(554, 245)","(493, 275)","(499, 240)"
159,159,159,159,6400.0,"(552, 243)","(489, 275)","(497, 240)"
160,160,160,160,6440.0,"(548, 240)","(485, 275)","(492, 240)"
161,161,161,161,6480.0,"(545, 240)","(480, 274)","(488, 240)"
162,162,162,162,6520.000000000001,"(544, 238)","(478, 274)","(486, 238)"
163,163,163,163,6560.000000000001,"(541, 238)","(476, 274)","(483, 237)"
164,164,164,164,6600.000000000001,"(539, 236)","(472, 273)","(480, 237)"
165,165,165,165,6640.000000000001,"(534, 234)","(466, 272)","(474, 236)"
166,166,166,166,6680.0,"(533, 233)","(464, 272)","(472, 236)"
167,167,167,167,6720.0,"(530, 233)","(462, 271)","(469, 234)"
168,168,168,168,6760.0,"(527, 231)","(458, 271)","(467, 235)"
169,169,169,169,6800.0,"(526, 230)","(457, 271)","(464, 234)"
170,170,170,170,6840.0,"(522, 230)","(454, 271)","(461, 233)"
171,171,171,171,6880.0,"(518, 228)","(449, 270)","(457, 232)"
172,172,172,172,6920.0,"(514, 227)","(447, 271)","(454, 231)"
173,173,173,173,6960.0,"(512, 227)","(444, 270)","(451, 229)"
174,174,174,174,7000.0,"(509, 227)","(442, 271)","(448, 229)"
175,175,175,175,7040.0,"(505, 225)","(440, 270)","(445, 229)"
176,176,176,176,7080.0,"(500, 225)","(434, 272)","(439, 229)"
177,177,177,177,7120.0,"(496, 223)","(431, 271)","(437, 229)"
178,178,178,178,7160.0,"(493, 223)","(429, 272)","(434, 229)"
179,179,179,179,7200.0,"(491, 221)","(426, 273)","(432, 230)"
180,180,180,180,7240.0,"(489, 221)","(424, 273)","(430, 230)"
181,181,181,181,7280.0,"(483, 218)","(418, 273)","(424, 230)"
182,182,182,182,7320.0,"(481, 217)","(416, 273)","(422, 230)"
183,183,183,183,7360.0,"(478, 216)","(413, 274)","(420, 230)"
184,184,184,184,7400.0,"(476, 214)","(410, 273)","(417, 230)"
185,185,185,185,7440.0,"(473, 213)","(409, 274)","(415, 231)"
186,186,186,186,7480.0,"(469, 210)","(403, 273)","(410, 230)"
187,187,187,187,7520.000000000001,"(465, 209)","(401, 274)","(408, 230)"
188,188,188,188,7560.000000000001,"(463, 207)","(399, 273)","(405, 229)"
189,189,189,189,7600.000000000001,"(460, 205)","(396, 273)","(402, 229)"
190,190,190,190,7640.000000000001,"(458, 204)","(394, 273)","(400, 229)"
191,191,191,191,7680.0,"(451, 200)","(389, 271)","(394, 228)"
192,192,192,192,7720.0,"(449, 199)","(386, 271)","(392, 227)"
193,193,193,193,7760.0,"(446, 198)","(384, 270)","(389, 227)"
194,194,194,194,7800.0,"(444, 197)","(381, 269)","(387, 226)"
195,195,195,195,7840.0,"(440, 196)","(378, 268)","(383, 226)"
196,196,196,196,7880.0,"(435, 194)","(374, 266)","(380, 225)"
197,197,197,197,7920.0,"(433, 193)","(371, 266)","(376, 225)"
198,198,198,198,7960.0,"(430, 193)","(369, 265)","(375, 225)"
199,199,199,199,8000.0,"(427, 192)","(367, 265)","(371, 224)"
200,200,200,200,8040.000000000001,"(424, 191)","(364, 264)","(369, 224)"
201,201,201,201,8080.0,"(418, 191)","(360, 263)","(365, 225)"
202,202,202,202,8120.000000000001,"(414, 189)","(357, 264)","(363, 226)"
203,203,203,203,8160.0,"(411, 189)","(355, 264)","(361, 226)"
204,204,204,204,8200.0,"(407, 189)","(352, 263)","(359, 227)"
205,205,205,205,8240.0,"(404, 187)","(350, 264)","(356, 227)"
206,206,206,206,8280.0,"(398, 187)","(345, 265)","(351, 229)"
207,207,207,207,8320.0,"(394, 185)","(342, 265)","(348, 230)"
208,208,208,208,8360.0,"(392, 185)","(340, 266)","(346, 230)"
209,209,209,209,8400.0,"(389, 184)","(337, 266)","(344, 231)"
210,210,210,210,8440.0,"(387, 184)","(334, 267)","(341, 232)"
211,211,211,211,8480.0,"(382, 182)","(329, 269)","(337, 233)"
