id,gid,x,y,dir_x,dir_y,radius,time
101,101,-1.84786,-2.72214,-0.998922,-0.0453192,0.1,244.239
101,101,-1.91429,-2.72571,-0.998938,-0.0449554,0.1,244.279
101,101,-1.98071,-2.72929,-0.998954,-0.0445916,0.1,244.319
101,101,-2.04714,-2.73286,-0.99897,-0.0442279,0.1,244.359
101,101,-2.11357,-2.73643,-0.998986,-0.0438641,0.1,244.399
101,101,-2.18,-2.74,-0.999001,-0.0435003,0.1,244.439
101,101,-2.24643,-2.74357,-0.999017,-0.0431366,0.1,244.479
101,101,-2.31286,-2.74714,-0.999033,-0.0427728,0.1,244.519
101,101,-2.37929,-2.75071,-0.999049,-0.042409,0.1,244.559
101,101,-2.44571,-2.75429,-0.999065,-0.0420453,0.1,244.599
101,101,-2.51214,-2.75786,-0.999081,-0.0416815,0.1,244.639
101,101,-2.57857,-2.76143,-0.999096,-0.0413177,0.1,244.679
101,101,-2.645,-2.765,-0.999112,-0.0409539,0.1,244.719
101,101,-2.71143,-2.76857,-0.999128,-0.0405902,0.1,244.759
101,101,-2.77786,-2.77214,-0.999144,-0.0402264,0.1,244.799
101,101,-2.84429,-2.77571,-0.99916,-0.0398626,0.1,244.839
101,101,-2.91071,-2.77929,-0.999176,-0.0394989,0.1,244.879
101,101,-2.97714,-2.78286,-0.999191,-0.0391351,0.1,244.919
101,101,-3.04357,-2.78643,-0.999207,-0.0387713,0.1,244.959
101,101,-3.11,-2.79,-0.999223,-0.0384076,0.1,244.999
101,101,-3.17643,-2.79357,-0.999239,-0.0380438,0.1,245.039
101,101,-3.24286,-2.79714,-0.999255,-0.03768,0.1,245.079
101,101,-3.30929,-2.80071,-0.999271,-0.0373162,0.1,245.119
101,101,-3.37571,-2.80429,-0.999287,-0.0369525,0.1,245.159
101,101,-3.44214,-2.80786,-0.999302,-0.0365887,0.1,245.199
101,101,-3.50857,-2.81143,-0.999318,-0.0362249,0.1,245.239
101,101,-3.575,-2.815,-0.999334,-0.0358612,0.1,245.279
101,101,-3.64143,-2.81857,-0.99935,-0.0354974,0.1,245.319
101,101,-3.70786,-2.82214,-0.999366,-0.0351336,0.1,245.359
101,101,-3.77429,-2.82571,-0.999382,-0.0347699,0.1,245.399
101,101,-3.84071,-2.82929,-0.999397,-0.0344061,0.1,245.439
101,101,-3.90714,-2.83286,-0.999413,-0.0340423,0.1,245.479
101,101,-3.97357,-2.83643,-0.999429,-0.0336786,0.1,245.519
101,101,-4.04,-2.84,-0.999445,-0.0333148,0.1,245.559
101,101,-4.11143,-2.84238,-0.999445,-0.0333148,0.1,245.599
101,101,-4.18286,-2.84476,-0.999445,-0.0333148,0.1,245.639
101,101,-4.25429,-2.84714,-0.999445,-0.0333148,0.1,245.679
101,101,-4.32571,-2.84952,-0.999445,-0.0333148,0.1,245.719
101,101,-4.39714,-2.8519,-0.999445,-0.0333148,0.1,245.759
101,101,-4.46857,-2.85429,-0.999445,-0.0333148,0.1,245.799
101,101,-4.54,-2.85667,-0.999445,-0.0333148,0.1,245.839
101,101,-4.61143,-2.85905,-0.999445,-0.0333148,0.1,245.879
101,101,-4.68286,-2.86143,-0.999445,-0.0333148,0.1,245.919
101,101,-4.75429,-2.86381,-0.999445,-0.0333148,0.1,245.959
101,101,-4.82571,-2.86619,-0.999445,-0.0333148,0.1,245.999
101,101,-4.89714,-2.86857,-0.999445,-0.0333148,0.1,246.039
101,101,-4.96857,-2.87095,-0.999445,-0.0333148,0.1,246.079
101,101,-5.04,-2.87333,-0.999445,-0.0333148,0.1,246.119
101,101,-5.11143,-2.87571,-0.999445,-0.0333148,0.1,246.159
101,101,-5.18286,-2.8781,-0.999445,-0.0333148,0.1,246.199
101,101,-5.25429,-2.88048,-0.999445,-0.0333148,0.1,246.239
101,101,-5.32571,-2.88286,-0.999445,-0.0333148,0.1,246.279
101,101,-5.39714,-2.88524,-0.999445,-0.0333148,0.1,246.319
101,101,-5.46857,-2.88762,-0.999445,-0.0333148,0.1,246.359
101,101,-5.54,-2.89,-0.999445,-0.0333148,0.1,246.399
101,101,-5.61143,-2.89238,-0.999445,-0.0333148,0.1,246.439
101,101,-5.68286,-2.89476,-0.999445,-0.0333148,0.1,246.479
101,101,-5.75429,-2.89714,-0.999445,-0.0333148,0.1,246.519
101,101,-5.82571,-2.89952,-0.999445,-0.0333148,0.1,246.559
101,101,-5.89714,-2.9019,-0.999445,-0.0333148,0.1,246.599
101,101,-5.96857,-2.90429,-0.999445,-0.0333148,0.1,246.639
101,101,-6.04,-2.90667,-0.999445,-0.0333148,0.1,246.679
101,101,-6.11143,-2.90905,-0.999445,-0.0333148,0.1,246.719
101,101,-6.18286,-2.91143,-0.999445,-0.0333148,0.1,246.759
101,101,-6.25429,-2.91381,-0.999445,-0.0333148,0.1,246.799
